<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.03	16:00:00	1.08397	1.08708	1.08326	1.08630	10666	0	1
2023.02.03	17:00:00	1.08620	1.08761	1.08092	1.08582	12813	0	0
2023.02.03	18:00:00	1.08582	1.08614	1.08233	1.08251	7247	0	0
2023.02.03	19:00:00	1.08250	1.08368	1.08222	1.08247	4237	0	1
2023.02.03	20:00:00	1.08246	1.08248	1.08050	1.08118	4513	0	1
2023.02.03	21:00:00	1.08118	1.08143	1.08016	1.08047	3523	0	1
2023.02.03	22:00:00	1.08046	1.08048	1.07930	1.07934	2765	0	1
2023.02.03	23:00:00	1.07934	1.08009	1.07926	1.07929	1147	0	1
2023.02.06	00:00:00	1.07880	1.07930	1.07837	1.07897	447	0	1
2023.02.06	01:00:00	1.07895	1.07983	1.07839	1.07894	3211	0	1
2023.02.06	02:00:00	1.07891	1.07949	1.07812	1.07886	3417	0	1
2023.02.06	03:00:00	1.07881	1.07941	1.07843	1.07850	3046	0	1
2023.02.06	04:00:00	1.07848	1.07980	1.07822	1.07906	2924	0	1
2023.02.06	05:00:00	1.07905	1.07983	1.07892	1.07902	2083	0	1
2023.02.06	06:00:00	1.07903	1.07988	1.07887	1.07963	1898	0	1
2023.02.06	07:00:00	1.07962	1.07980	1.07901	1.07966	1804	0	1
2023.02.06	08:00:00	1.07966	1.07978	1.07861	1.07873	2034	0	1
2023.02.06	09:00:00	1.07870	1.07963	1.07799	1.07799	3857	0	1
2023.02.06	10:00:00	1.07800	1.07951	1.07745	1.07852	5310	0	1
2023.02.06	11:00:00	1.07852	1.07881	1.07650	1.07666	4813	0	1
2023.02.06	12:00:00	1.07668	1.07775	1.07597	1.07659	4057	0	1
2023.02.06	13:00:00	1.07658	1.07671	1.07565	1.07662	3011	0	1
2023.02.06	14:00:00	1.07659	1.07830	1.07658	1.07732	3033	0	1
2023.02.06	15:00:00	1.07734	1.07777	1.07570	1.07581	4658	0	1
2023.02.06	16:00:00	1.07581	1.07662	1.07391	1.07445	6455	0	1
2023.02.06	17:00:00	1.07445	1.07476	1.07217	1.07300	6403	0	1
2023.02.06	18:00:00	1.07300	1.07392	1.07171	1.07211	4958	0	0
2023.02.06	19:00:00	1.07211	1.07218	1.07089	1.07131	3148	0	1
2023.02.06	20:00:00	1.07131	1.07264	1.07102	1.07264	2173	0	1
2023.02.06	21:00:00	1.07261	1.07371	1.07233	1.07247	2688	0	1
2023.02.06	22:00:00	1.07247	1.07308	1.07185	1.07297	2844	0	1
2023.02.06	23:00:00	1.07295	1.07303	1.07229	1.07247	795	0	1
2023.02.07	00:00:00	1.07264	1.07275	1.07205	1.07264	811	0	4
2023.02.07	01:00:00	1.07264	1.07289	1.07241	1.07289	707	0	1
2023.02.07	02:00:00	1.07290	1.07361	1.07280	1.07361	1454	0	1
2023.02.07	03:00:00	1.07362	1.07426	1.07335	1.07411	2162	0	1
2023.02.07	04:00:00	1.07412	1.07415	1.07361	1.07409	1767	0	1
2023.02.07	05:00:00	1.07409	1.07426	1.07359	1.07382	2613	0	1
2023.02.07	06:00:00	1.07381	1.07382	1.07286	1.07329	1873	0	1
2023.02.07	07:00:00	1.07329	1.07417	1.07305	1.07403	2117	0	1
2023.02.07	08:00:00	1.07402	1.07437	1.07350	1.07392	2647	0	1
2023.02.07	09:00:00	1.07390	1.07395	1.07230	1.07241	4266	0	1
2023.02.07	10:00:00	1.07241	1.07260	1.06967	1.07187	7107	0	1
2023.02.07	11:00:00	1.07189	1.07347	1.07105	1.07108	5156	0	1
